종목명,최종점수,가치점수,우량점수,모멘텀점수(샤프+이익),샤프지수,거래대금(억)
LG디스플레이,0.5766,0.7193,0.3758,0.6362,1.15,2772
SP삼화,0.5754,0.9755,0.5883,0.1642,0.71,13
현대모비스,0.5752,0.3174,0.7007,0.7091,1.86,7020
넥센타이어,0.575,0.8324,0.5958,0.2984,0.41,14
지오엘리먼트,0.5749,0.5095,0.7182,0.4986,0.91,10
AJ네트웍스,0.5746,0.8447,0.5,0.3808,0.77,11
한전산업,0.5744,0.7602,0.6583,0.3065,0.46,33
아이에스동서,0.5743,0.8842,0.5904,0.25,0.92,33
아이로보틱스,0.574,0.7357,0.5868,0.4012,1.53,569
HD현대마린솔루션,0.5715,0.6253,0.6979,0.3931,0.38,747
에이엘티,0.5707,0.6948,0.421,0.5981,1.63,26
코스모신소재,0.5695,0.6499,0.6774,0.3828,1.17,101
한국쉘석유,0.5691,0.4619,0.7525,0.4946,0.98,17
수산인더스트리,0.5686,0.6853,0.7014,0.3208,0.51,11
오리온홀딩스,0.5683,0.5858,0.7038,0.4169,0.99,54
큐리언트,0.5679,0.7248,0.4044,0.5763,1.63,42
서호전기,0.5677,0.4632,0.8234,0.4183,0.27,10
에스원,0.5673,0.6676,0.7145,0.3215,0.43,85
오킨스전자,0.5673,0.2738,0.5788,0.8508,1.88,147
HD현대에너지솔루션,0.5663,0.2725,0.591,0.8372,2.01,701
에코프로,0.5662,0.4155,0.4851,0.7997,1.9,1967
심텍홀딩스,0.5658,0.7956,0.2413,0.6621,1.86,55
케이에스피,0.564,0.7861,0.7175,0.1901,0.4,14
툴젠,0.5639,0.5409,0.4585,0.6941,1.9,40
에이치브이엠,0.5638,0.2902,0.6467,0.7561,1.92,488
씨아이에스,0.5634,0.3842,0.7206,0.5872,1.35,167
기업은행,0.5617,0.8992,0.3606,0.4271,0.86,388
원익IPS,0.5611,0.2357,0.5869,0.8624,2.34,1822
케이씨,0.5597,0.3093,0.721,0.6505,1.24,12
포스코DX,0.5596,0.545,0.7383,0.3971,0.95,356
HL홀딩스,0.5595,0.8379,0.6562,0.186,0.63,19
제일일렉트릭,0.559,0.53,0.6977,0.451,0.92,54
코스모화학,0.559,0.6349,0.5941,0.4496,0.44,26
이녹스첨단소재,0.559,0.5422,0.6486,0.4877,0.84,78
화신정공,0.5582,0.3079,0.7028,0.6655,1.28,340
엘앤에프,0.5581,0.767,0.2175,0.6914,2.02,866
SNT에너지,0.5577,0.6444,0.7163,0.314,0.42,65
에스티큐브,0.5573,0.7561,0.2757,0.6417,1.62,63
한화솔루션,0.5567,0.6621,0.4918,0.5177,0.68,754
셀트리온제약,0.5566,0.4918,0.7013,0.4782,0.32,51
SK네트웍스,0.5553,0.7493,0.5007,0.4176,1.72,3151
HK이노엔,0.5553,0.4986,0.6941,0.4748,0.59,87
프로텍,0.5552,0.0518,0.6835,0.9319,2.44,76
티씨머티리얼즈,0.5547,0.6703,0.7236,0.2718,0.64,235
가온전선,0.5538,0.248,0.5494,0.8658,2.42,648
씨앤지하이테크,0.5538,0.2221,0.7305,0.7105,1.21,24
셀레믹스,0.5528,0.752,0.4454,0.4625,2.25,23
월덱스,0.5521,0.5872,0.698,0.3726,0.91,33
한화생명,0.5514,0.8501,0.3562,0.4496,1.14,431
해성디에스,0.5511,0.455,0.6727,0.5272,2.15,259
피에스케이홀딩스,0.5509,0.2643,0.7314,0.6587,2.19,408
HLB이노베이션,0.55,0.7847,0.531,0.3358,1.53,41
NHN KCP,0.5496,0.4387,0.7336,0.4782,1.26,74
한국타이어앤테크놀로지,0.5485,0.4946,0.6356,0.517,1.32,373
DL,0.5477,1,0.4601,0.1846,0.82,59
PKC,0.5476,0.6376,0.6267,0.3801,0.33,76
현대무벡스,0.5475,0.3951,0.6585,0.5906,2.95,978
엘에스일렉트릭,0.5459,0.342,0.591,0.7064,2.77,3199
토모큐브,0.5458,0.7275,0.4536,0.4578,1.13,35
한국항공우주,0.5442,0.658,0.4803,0.4959,1.28,975
GS피앤엘,0.5441,0.5504,0.5863,0.4973,1.12,60
메가터치,0.544,0.8338,0.4791,0.3208,1.39,42
루미르,0.544,0.7507,0.5804,0.3025,1.02,33
엠케이전자,0.541,0.1798,0.5552,0.8896,2.15,388
에이플러스에셋,0.5407,0.3801,0.5923,0.6512,1.4,10
로보티즈,0.5403,0.0204,0.6907,0.9114,2.47,1294
리노공업,0.5402,0.1471,0.7518,0.7234,1.66,1620
이오테크닉스,0.5399,0.1431,0.7104,0.7677,1.98,1030
비츠로셀,0.5389,0.1131,0.7469,0.7582,2.43,323
한컴위드,0.5386,0.1948,0.7163,0.7064,1.18,69
애경케미칼,0.5385,0.5777,0.5926,0.4469,0.79,45
한솔아이원스,0.5379,0.2929,0.763,0.5593,1.1,47
로보로보,0.5373,0.7916,0.5871,0.235,0.96,32
삼성생명,0.5369,0.5232,0.3569,0.7323,2.3,2108
현대백화점,0.5363,0.2657,0.6944,0.6505,1.47,342
동양이엔피,0.5363,0.6213,0.7325,0.2568,0.41,12
미래산업,0.5363,0.579,0.6724,0.359,1.26,149
비츠로테크,0.5357,0.3883,0.702,0.5184,1.17,49
컴퍼니케이,0.5349,0.7534,0.4264,0.4264,0.86,31
