종목명,ROE,최종점수
주성코퍼레이션,7.05,4.23
엘에스일렉트릭,13.27,7.96
원일특강,4.92,2.95
SM C&C,-2.36,-1.41
엘앤케이바이오,-43.46,-26.08
하이비젼시스템,-8.60,-5.16
초록뱀미디어,1.07,0.64
디와이피엔에프,16.94,10.17
롯데칠성음료,3.20,1.92
오공,4.57,2.74
희림,8.93,5.36
현대바이오,-19.98,-11.99
에프앤가이드,14.57,8.74
LG유플러스,5.62,3.37
웰크론한텍,-317.75,-190.65
CJ CGV,-22.05,-13.23
우전,3.66,2.20
한미반도체,31.00,18.60
동국산업,-2.35,-1.41
피제이메탈,10.97,6.58
국도화학,2.50,1.50
대원제약,-1.46,-0.88
에코캡,-2.28,-1.37
지란지교시큐리티,1.33,0.80
RFHIC,8.96,5.37
심텍,-28.55,-17.13
셀바이오휴먼텍,14.74,8.84
조선내화,1.34,0.80
금호타이어,16.83,10.10
뱅크웨어글로벌,-15.40,-9.24
선진뷰티사이언스,8.22,4.93
티에스아이,3.07,1.84
모티브링크,-0.31,-0.18
CJ대한통운,5.83,3.50
한양이엔지,6.68,4.01
SK증권,4.75,2.85
로보스타,-5.99,-3.59
하나머티리얼즈,8.28,4.97
아이에스티이,-22.04,-13.23
대우건설,-26.36,-15.82
현대홈쇼핑,3.06,1.83
효성중공업,20.20,12.12
그린리소스,14.62,8.77
제일엠앤에스,136.98,82.19
대웅,12.90,7.74
엠에스오토텍,-11.76,-7.05
팡스카이,11.09,6.66
한전기술,13.66,8.20
윈스테크넷,9.94,5.96
알톤,1.04,0.63
평화홀딩스,27.77,16.66
카카오,3.40,2.04
오르비텍,0.71,0.43
한세엠케이,-201.99,-121.19
이닉스,0.19,0.12
대웅제약,17.00,10.20
팬엔터테인먼트,-13.07,-7.84
하나마이크론,10.05,6.03
피에스텍,6.69,4.02
아이씨에이치,-92.44,-55.46
POSCO홀딩스,0.81,0.49
롯데정밀화학,4.36,2.61
동일고무벨트,4.09,2.46
